accession	protein_name	sequence_length	header_line	genbank_id	genbank_link	subfamily	phenotype	natural_or_acquired
SLX23031	OKP-B-94	286	SLX23031.1 beta-lactamase [Klebsiella quasipneumoniae]	FWNG01000001	http://www.ncbi.nlm.nih.gov/nuccore/FWNG01000001?from=49332&to=50192	OKP-B-like		N ( Klebsiella quasipneumoniae VRCO0462)
KMH82879	OKP-B-95	286	KMH82879.1 beta-lactamase SHV-1 [Klebsiella quasipneumoniae]	KQ089574	http://www.ncbi.nlm.nih.gov/nuccore/KQ089574?from=2815223&to=2816083&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae MGH123)
HCI4572943	OKP-B-96	286	HCI4572943.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAIHWG010000010	http://www.ncbi.nlm.nih.gov/nuccore/DAIHWG010000010?from=205834&to=206694	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
HCT7669525	OKP-B-97	286	HCT7669525.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAKBCY010000103	http://www.ncbi.nlm.nih.gov/nuccore/DAKBCY010000103?from=3915&to=4775	OKP-B-like		N ( Klebsiella quasipneumoniae )
SXD32533	OKP-B-98	286	SXD32533.1 beta-lactamase [Klebsiella quasipneumoniae]	UJYS01000001	http://www.ncbi.nlm.nih.gov/nuccore/UJYS01000001?from=1480742&to=1481602	OKP-B-like		N ( Klebsiella quasipneumoniae EuSCAPE_SC024)
EIY4971514	OKP-B-99	286	EIY4971514.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABFIDF010000003	http://www.ncbi.nlm.nih.gov/nuccore/ABFIDF010000003?from=285066&to=285926	OKP-B-like		N ( Klebsiella quasipneumoniae OTH-19-VL-NY-GA-0014)
WP_218804088	OKP-B-100	286	WP_218804088.1 broad-spectrum class A beta-lactamase OKP-B-100 [Klebsiella quasipneumoniae]	NG_244891	http://www.ncbi.nlm.nih.gov/nuccore/NG_244891?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae Colony339)
WP_154982074	OKP-B-101	286	WP_154982074.1 broad-spectrum class A beta-lactamase OKP-B-101 [Klebsiella quasipneumoniae]	NG_244892	http://www.ncbi.nlm.nih.gov/nuccore/NG_244892?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae 4928STDY7071703)
HBQ8790851	OKP-B-102	286	HBQ8790851.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAFVYA010000009	http://www.ncbi.nlm.nih.gov/nuccore/DAFVYA010000009?from=85274&to=86134	OKP-B-like		N ( Klebsiella quasipneumoniae )
HEO9215924	OKP-B-103	286	HEO9215924.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DATSYS010000093	http://www.ncbi.nlm.nih.gov/nuccore/DATSYS010000093?from=119&to=979	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae JBCDAAB-19-0173)
MBM5548026	OKP-B-104	286	MBM5548026.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	RYIB01000001	http://www.ncbi.nlm.nih.gov/nuccore/RYIB01000001?from=507334&to=508194	OKP-B-like		N ( Klebsiella quasipneumoniae 17ZR-16)
HBT4838232	OKP-B-105	286	HBT4838232.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAGDAC010000030	http://www.ncbi.nlm.nih.gov/nuccore/DAGDAC010000030?from=3928&to=4788	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
MBC3625488	OKP-B-106	286	MBC3625488.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella sp. Kpp]	JACOEC010000011	http://www.ncbi.nlm.nih.gov/nuccore/JACOEC010000011?from=93450&to=94310	OKP-B-like		N ( Klebsiella sp. Kpp)
HCI6408082	OKP-B-107	286	HCI6408082.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAIIKL010000024	http://www.ncbi.nlm.nih.gov/nuccore/DAIIKL010000024?from=34093&to=34953	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
HCQ8112184	OKP-B-108	286	HCQ8112184.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAJQTP010000021	http://www.ncbi.nlm.nih.gov/nuccore/DAJQTP010000021?from=84297&to=85157	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
MEH9179784	OKP-B-109	286	MEH9179784.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	JAVBBC010000001	http://www.ncbi.nlm.nih.gov/nuccore/JAVBBC010000001?from=160288&to=161148&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae EH7)
HCT7664755	OKP-B-110	286	HCT7664755.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAKBCY010000002	http://www.ncbi.nlm.nih.gov/nuccore/DAKBCY010000002?from=58784&to=59644	OKP-B-like		N ( Klebsiella quasipneumoniae )
WP_371341394	OKP-B-111	286	WP_371341394.1 broad-spectrum class A beta-lactamase OKP-B-111 [Klebsiella quasipneumoniae]	NG_244902	http://www.ncbi.nlm.nih.gov/nuccore/NG_244902?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae SD99-19)
MEB6154550	OKP-B-112	286	MEB6154550.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JALKPC010000001	http://www.ncbi.nlm.nih.gov/nuccore/JALKPC010000001?from=1407185&to=1408045	OKP-B-like		N ( Klebsiella quasipneumoniae S63)
MER0222154	OKP-B-113	286	MER0222154.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAGKRM010000019	http://www.ncbi.nlm.nih.gov/nuccore/JAGKRM010000019?from=17972&to=18832&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae dm978b)
EIY5225106	OKP-B-114	286	EIY5225106.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABFIFF010000007	http://www.ncbi.nlm.nih.gov/nuccore/ABFIFF010000007?from=197743&to=198603	OKP-B-like		N ( Klebsiella quasipneumoniae OTH-19-VL-OH-PA-Ag-0003)
AAZ79402	OKP-B-115	286	AAZ79402.1 beta-lactamase [Klebsiella pneumoniae]	DQ149135	http://www.ncbi.nlm.nih.gov/nuccore/DQ149135?from=47&to=907	OKP-B-like		N ( Klebsiella pneumoniae )
SBH14426	OKP-B-116	286	SBH14426.1 beta-lactamase [Klebsiella quasipneumoniae]	FLDN01000001	http://www.ncbi.nlm.nih.gov/nuccore/FLDN01000001?from=981372&to=982232	OKP-B-like		N ( Klebsiella quasipneumoniae k482)
XGP52442	OKP-B-117	286	XGP52442.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	CP152924	http://www.ncbi.nlm.nih.gov/nuccore/CP152924?from=2681860&to=2682720	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae NK_H12_057)
MDL2151931	OKP-B-118	286	MDL2151931.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JARBTH020000001	http://www.ncbi.nlm.nih.gov/nuccore/JARBTH020000001?from=2520277&to=2521137	OKP-B-like		N ( Klebsiella quasipneumoniae NN-MR-49B)
WP_323102889	OKP-B-119	286	WP_323102889.1 broad-spectrum class A beta-lactamase OKP-B-119 [Klebsiella quasipneumoniae]	NG_244909	http://www.ncbi.nlm.nih.gov/nuccore/NG_244909?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae ACESH02609)
EIY4992156	OKP-B-120	286	EIY4992156.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABFIDH010000003	http://www.ncbi.nlm.nih.gov/nuccore/ABFIDH010000003?from=107793&to=108653	OKP-B-like		N ( Klebsiella quasipneumoniae OTH-19-VL-NY-GA-0013)
HFO0282484	OKP-B-121	286	HFO0282484.1 TPA: OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	DAZDMR010000093	http://www.ncbi.nlm.nih.gov/nuccore/DAZDMR010000093?from=14019&to=14879	OKP-B-like		N ( Klebsiella quasipneumoniae GT25-0016)
HFE4603222	OKP-B-122	286	HFE4603222.1 TPA: OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAXQSY010000073	http://www.ncbi.nlm.nih.gov/nuccore/DAXQSY010000073?from=10577&to=11437	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae D281)
WP_371334593	OKP-B-123	286	WP_371334593.1 broad-spectrum class A beta-lactamase OKP-B-123 [Klebsiella quasipneumoniae]	NG_244913	http://www.ncbi.nlm.nih.gov/nuccore/NG_244913?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae SD151-19)
WHA91071	OKP-B-125	286	WHA91071.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	CP118277	http://www.ncbi.nlm.nih.gov/nuccore/CP118277?from=2649506&to=2650366	OKP-B-like		N ( Klebsiella quasipneumoniae IF1SW-B2)
HBR1708537	OKP-B-126	286	HBR1708537.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAFWST010000001	http://www.ncbi.nlm.nih.gov/nuccore/DAFWST010000001?from=1506691&to=1507551&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae 38UK)
MEH9000894	OKP-B-127	286	MEH9000894.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	JAVBCS010000001	http://www.ncbi.nlm.nih.gov/nuccore/JAVBCS010000001?from=816394&to=817254	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae GH32)
MBS3674353	OKP-B-128	286	MBS3674353.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAGWFI010000004	http://www.ncbi.nlm.nih.gov/nuccore/JAGWFI010000004?from=188170&to=189030&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae 18082200547-1)
MDQ2350206	OKP-B-129	286	MDQ2350206.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JAVDNQ010000026	http://www.ncbi.nlm.nih.gov/nuccore/JAVDNQ010000026?from=40393&to=41253	OKP-B-like		N ( Klebsiella quasipneumoniae LACPHL-BACT-2023-00063)
HCI5641914	OKP-B-130	286	HCI5641914.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAIIEP010000021	http://www.ncbi.nlm.nih.gov/nuccore/DAIIEP010000021?from=43050&to=43910	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
HCQ9123894	OKP-B-131	286	HCQ9123894.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAJRBI010000004	http://www.ncbi.nlm.nih.gov/nuccore/DAJRBI010000004?from=193388&to=194248	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
HCT9681926	OKP-B-132	286	HCT9681926.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAKBVD010000026	http://www.ncbi.nlm.nih.gov/nuccore/DAKBVD010000026?from=34092&to=34952	OKP-B-like		N ( Klebsiella quasipneumoniae )
HFT4305926	OKP-B-133	286	HFT4305926.1 TPA: OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	DAZXWK010000012	http://www.ncbi.nlm.nih.gov/nuccore/DAZXWK010000012?from=93376&to=94236	OKP-B-like		N ( Klebsiella quasipneumoniae NUKP-138)
MCT7321724	OKP-B-134	286	MCT7321724.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JAOCPZ010000006	http://www.ncbi.nlm.nih.gov/nuccore/JAOCPZ010000006?from=169690&to=170550&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae PS02)
EIY5122531	OKP-B-135	286	EIY5122531.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABFIEL010000001	http://www.ncbi.nlm.nih.gov/nuccore/ABFIEL010000001?from=206967&to=207827	OKP-B-like		N ( Klebsiella quasipneumoniae OTH-20-VL-SD-IA-0002)
WP_130945952	OKP-B-136	286	WP_130945952.1 broad-spectrum class A beta-lactamase OKP-B-136 [Klebsiella quasipneumoniae]	NG_244926	http://www.ncbi.nlm.nih.gov/nuccore/NG_244926?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae TUM14019)
WP_218804515	OKP-B-137	286	WP_218804515.1 broad-spectrum class A beta-lactamase OKP-B-137 [Klebsiella quasipneumoniae]	NG_244927	http://www.ncbi.nlm.nih.gov/nuccore/NG_244927?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae Colony353)
MCX2316384	OKP-B-138	286	MCX2316384.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAKOAI010000012	http://www.ncbi.nlm.nih.gov/nuccore/JAKOAI010000012?from=53216&to=54076&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae E11)
QLP58374	OKP-B-139	286	QLP58374.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	CP058131	http://www.ncbi.nlm.nih.gov/nuccore/CP058131?from=2692122&to=2692982	OKP-B-like		N ( Klebsiella quasipneumoniae RHBSTW-00138)
MFI4150935	OKP-B-140	286	MFI4150935.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JAYFXQ010000001	http://www.ncbi.nlm.nih.gov/nuccore/JAYFXQ010000001?from=426053&to=426913&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae 146629)
QFU64522	OKP-B-141	286	QFU64522.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	CP035207	http://www.ncbi.nlm.nih.gov/nuccore/CP035207?from=1383614&to=1384474	OKP-B-like		N ( Klebsiella quasipneumoniae TH114)
HBR1990827	OKP-B-142	286	HBR1990827.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAFWUR010000001	http://www.ncbi.nlm.nih.gov/nuccore/DAFWUR010000001?from=492172&to=493032&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae 18CK)
MBX4839802	OKP-B-143	286	MBX4839802.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAAXMX010000003	http://www.ncbi.nlm.nih.gov/nuccore/JAAXMX010000003?from=90832&to=91692	OKP-B-like		N ( Klebsiella quasipneumoniae BA39077)
HBT4804601	OKP-B-144	286	HBT4804601.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAGDAJ010000015	http://www.ncbi.nlm.nih.gov/nuccore/DAGDAJ010000015?from=112595&to=113455	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
TXV77867	OKP-B-145	286	TXV77867.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	QYNA01000001	http://www.ncbi.nlm.nih.gov/nuccore/QYNA01000001?from=12172&to=13032&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae N039.H-13)
WP_218809756	OKP-B-147	286	WP_218809756.1 broad-spectrum class A beta-lactamase OKP-B-147 [Klebsiella quasipneumoniae]	NG_244937	http://www.ncbi.nlm.nih.gov/nuccore/NG_244937?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae Colony479)
HCM7672849	OKP-B-148	286	HCM7672849.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAJDRH010000067	http://www.ncbi.nlm.nih.gov/nuccore/DAJDRH010000067?from=1432&to=2292	OKP-B-like		N ( Klebsiella quasipneumoniae )
WP_194417682	OKP-B-149	286	WP_194417682.1 broad-spectrum class A beta-lactamase OKP-B-149 [Klebsiella quasipneumoniae]	NG_244939	http://www.ncbi.nlm.nih.gov/nuccore/NG_244939?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae BS324-2)
HDH1398215	OKP-B-151	286	HDH1398215.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAMSYA010000001	http://www.ncbi.nlm.nih.gov/nuccore/DAMSYA010000001?from=1418124&to=1418984	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae)
MEY8087707	OKP-B-153	286	MEY8087707.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JBGFCB010000025	http://www.ncbi.nlm.nih.gov/nuccore/JBGFCB010000025?from=1371157&to=1372017	OKP-B-like		N ( Klebsiella quasipneumoniae MMSV7)
MDT9738588	OKP-B-154	286	MDT9738588.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae]	JAWDAI010000001	http://www.ncbi.nlm.nih.gov/nuccore/JAWDAI010000001?from=204245&to=205105&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae 20180639)
HDN2723624	OKP-B-155	286	HDN2723624.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DANUED010000003	http://www.ncbi.nlm.nih.gov/nuccore/DANUED010000003?from=16003&to=16863&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae )
WP_130942340	OKP-B-156	286	WP_130942340.1 broad-spectrum class A beta-lactamase OKP-B-156 [Klebsiella quasipneumoniae]	NG_244946	http://www.ncbi.nlm.nih.gov/nuccore/NG_244946?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae TUM14063)
MCZ9505501	OKP-B-157	286	MCZ9505501.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAIPLF010000001	http://www.ncbi.nlm.nih.gov/nuccore/JAIPLF010000001?from=2612499&to=2613359	OKP-B-like		N ( Klebsiella quasipneumoniae NR0976)
SBY85452	OKP-B-159	286	SBY85452.1 beta-lactamase [Klebsiella quasipneumoniae]	FLXD01000008	http://www.ncbi.nlm.nih.gov/nuccore/FLXD01000008?from=189695&to=190555&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae PB509)
MEB6582703	OKP-B-160	286	MEB6582703.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JALLME010000001	http://www.ncbi.nlm.nih.gov/nuccore/JALLME010000001?from=35925&to=36785&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae NC69)
WP_177334014	OKP-B-161	286	WP_177334014.1 broad-spectrum class A beta-lactamase OKP-B-161 [Klebsiella quasipneumoniae]	NG_244950	http://www.ncbi.nlm.nih.gov/nuccore/NG_244950?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae ZKP111)
GKP16977	OKP-B-162	286	GKP16977.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	BQUA01000003	http://www.ncbi.nlm.nih.gov/nuccore/BQUA01000003?from=180255&to=181115	OKP-B-like		N ( Klebsiella quasipneumoniae NUKP-16)
WP_323110769	OKP-B-163	286	WP_323110769.1 broad-spectrum class A beta-lactamase OKP-B-163 [Klebsiella quasipneumoniae]	NG_244952	http://www.ncbi.nlm.nih.gov/nuccore/NG_244952?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae ACESH00065)
EIY4986717	OKP-B-164	286	EIY4986717.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABFIDK010000001	http://www.ncbi.nlm.nih.gov/nuccore/ABFIDK010000001?from=1103868&to=1104728&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae OTH-20-VL-OH-OSU-0026)
HFE2845096	OKP-B-166	286	HFE2845096.1 TPA: OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAXQBZ010000008	http://www.ncbi.nlm.nih.gov/nuccore/DAXQBZ010000008?from=129604&to=130464	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae D315)
HDE1479531	OKP-B-168	286	HDE1479531.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAMEKX010000157	http://www.ncbi.nlm.nih.gov/nuccore/DAMEKX010000157?from=2727&to=3587	OKP-B-like		N ( Klebsiella quasipneumoniae CHRF_KPS_0544)
MEH8651783	OKP-B-169	286	MEH8651783.1 OKP family broad-spectrum class A beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	JAVBEI010000004	http://www.ncbi.nlm.nih.gov/nuccore/JAVBEI010000004?from=304663&to=305523&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae HKU35)
MCD7063786	OKP-B-170	286	MCD7063786.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. quasipneumoniae]	JAJOZP010000048	http://www.ncbi.nlm.nih.gov/nuccore/JAJOZP010000048?from=74863&to=75723	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae 10KE)
OED26000	OKP-B-171	286	OED26000.1 class A beta-lactamase [Klebsiella quasipneumoniae]	MBSL01000005	http://www.ncbi.nlm.nih.gov/nuccore/MBSL01000005?from=14455&to=15315&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae B8095)
MCL8072276	OKP-B-172	286	MCL8072276.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAMJUA010000014	http://www.ncbi.nlm.nih.gov/nuccore/JAMJUA010000014?from=131982&to=132842	OKP-B-like		N ( Klebsiella quasipneumoniae s61)
GKP07268	OKP-B-173	286	GKP07268.1 class A broad-spectrum beta-lactamase OKP-B-1 [Klebsiella quasipneumoniae]	BQTZ01000008	http://www.ncbi.nlm.nih.gov/nuccore/BQTZ01000008?from=213429&to=214289	OKP-B-like		N ( Klebsiella quasipneumoniae NUKP-2)
HDS4187267	OKP-B-174	286	HDS4187267.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAOWSE010000107	http://www.ncbi.nlm.nih.gov/nuccore/DAOWSE010000107?from=167&to=1027	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae JBEHABI-19-0207)
EMQ0920925	OKP-B-175	286	EMQ0920925.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	ABKZIY030000004	http://www.ncbi.nlm.nih.gov/nuccore/ABKZIY030000004?from=153666&to=154526	OKP-B-like		N ( Klebsiella quasipneumoniae )
VGE96676	OKP-B-176	286	VGE96676.1 beta-lactamase [Klebsiella quasipneumoniae]	CAAGXP010000001	http://www.ncbi.nlm.nih.gov/nuccore/CAAGXP010000001?from=114765&to=115625	OKP-B-like		N ( Klebsiella quasipneumoniae 5012STDY7312626)
WP_155009229	OKP-B-177	286	WP_155009229.1 broad-spectrum class A beta-lactamase OKP-B-177 [Klebsiella quasipneumoniae]	NG_244965	http://www.ncbi.nlm.nih.gov/nuccore/NG_244965?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae 4928STDY7071558)
HDT2811250	OKP-B-178	286	HDT2811250.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAOZHV010000062	http://www.ncbi.nlm.nih.gov/nuccore/DAOZHV010000062?from=3514&to=4374	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae JBDHAAI-19-0078)
HCM4284765	OKP-B-179	286	HCM4284765.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	DAJCSE010000015	http://www.ncbi.nlm.nih.gov/nuccore/DAJCSE010000015?from=87786&to=88646	OKP-B-like		N ( Klebsiella quasipneumoniae )
NGD57760	OKP-B-180	286	NGD57760.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JAAJSI010000002	http://www.ncbi.nlm.nih.gov/nuccore/JAAJSI010000002?from=428433&to=429293&strand=2	OKP-B-like		N ( Klebsiella quasipneumoniae KQM_44)
WP_369167680	OKP-B-181	286	WP_369167680.1 broad-spectrum class A beta-lactamase OKP-B-181 [Klebsiella quasipneumoniae]	NG_244969	http://www.ncbi.nlm.nih.gov/nuccore/NG_244969?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae zj01177)
WP_369718483	OKP-B-182	286	WP_369718483.1 broad-spectrum class A beta-lactamase OKP-B-182 [Klebsiella quasipneumoniae]	NG_244970	http://www.ncbi.nlm.nih.gov/nuccore/NG_244970?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae FK3150)
WP_049092654	OKP-B-183	286	WP_049092654.1 broad-spectrum class A beta-lactamase OKP-B-183 [Klebsiella quasipneumoniae]	NG_244971	http://www.ncbi.nlm.nih.gov/nuccore/NG_244971?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae 193_KOXY)
MEB6482438	OKP-B-184	286	MEB6482438.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JALLMB010000001	http://www.ncbi.nlm.nih.gov/nuccore/JALLMB010000001?from=948311&to=949171	OKP-B-like		N ( Klebsiella quasipneumoniae SNS3mu)
SSI34189	OKP-B-185	286	SSI34189.1 beta-lactamase [Klebsiella quasipneumoniae]	UFCV01000009	http://www.ncbi.nlm.nih.gov/nuccore/UFCV01000009?from=10179&to=11039	OKP-B-like		N ( Klebsiella quasipneumoniae 4300STDY6542357)
MEB5913540	OKP-B-186	286	MEB5913540.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae]	JALLMV010000001	http://www.ncbi.nlm.nih.gov/nuccore/JALLMV010000001?from=1221561&to=1222421	OKP-B-like		N ( Klebsiella quasipneumoniae G77)
WP_177337231	OKP-B-187	286	WP_177337231.1 broad-spectrum class A beta-lactamase OKP-B-187 [Klebsiella quasipneumoniae]	NG_244975	http://www.ncbi.nlm.nih.gov/nuccore/NG_244975?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae ZKP10)
HBR0948915	OKP-B-188	286	HBR0948915.1 TPA: OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	DAFWNA010000001	http://www.ncbi.nlm.nih.gov/nuccore/DAFWNA010000001?from=1356821&to=1357681	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae 143PK)
MCS4388289	OKP-B-189	286	MCS4388289.1 OKP family class A broad-spectrum beta-lactamase [Klebsiella quasipneumoniae subsp. similipneumoniae]	JALIZU010000014	http://www.ncbi.nlm.nih.gov/nuccore/JALIZU010000014?from=85569&to=86429	OKP-B-like		N ( Klebsiella quasipneumoniae subsp. similipneumoniae Kqp71RR)
WP_130947606	OKP-B-190	286	WP_130947606.1 broad-spectrum class A beta-lactamase OKP-B-190 [Klebsiella quasipneumoniae]	NG_244978	http://www.ncbi.nlm.nih.gov/nuccore/NG_244978?from=101&to=961	OKP-B-like		N ( Klebsiella quasipneumoniae TUM14034)
SXD27014	OKP-B-192	286	SXD27014.1 beta-lactamase [Klebsiella quasipneumoniae]	UJYT01000008	http://www.ncbi.nlm.nih.gov/nuccore/UJYT01000008?from=58295&to=59155	OKP-B-like		N ( Klebsiella quasipneumoniae EuSCAPE_BE039)
